NVIDIA GeForce RTX 4090   lr 0.0003  wd 0.05  cosine + 3ep warmup, no augmentation
train (112800, 28, 28)  test (18800, 28, 28)  subsets [28200, 28200, 28200, 28200]

  tiny112_switch         ep  1 set 1  test 0.4110  current 0.4216  set1 0.4216  (20 s)
  tiny112_switch         ep  2 set 1  test 0.6780  current 0.6977  set1 0.6977  (30 s)
  tiny112_switch         ep  3 set 1  test 0.7635  current 0.7856  set1 0.7856  (39 s)
  tiny112_switch         ep  4 set 1  test 0.8116  current 0.8333  set1 0.8333  (49 s)
  tiny112_switch         ep  5 set 1  test 0.8282  current 0.8597  set1 0.8597  (59 s)
  tiny112_switch         ep  6 set 1  test 0.8302  current 0.8710  set1 0.8710  (68 s)
  tiny112_switch         ep  7 set 1  test 0.8417  current 0.8824  set1 0.8824  (78 s)
  tiny112_switch         ep  8 set 1  test 0.8427  current 0.8933  set1 0.8933  (87 s)
  tiny112_switch         ep  9 set 1  test 0.8404  current 0.9009  set1 0.9009  (97 s)
  tiny112_switch         ep 10 set 1  test 0.8493  current 0.9171  set1 0.9171  (107 s)
  tiny112_switch         ep 11 set 1  test 0.8494  current 0.9312  set1 0.9312  (116 s)
  tiny112_switch         ep 12 set 1  test 0.8407  current 0.9343  set1 0.9343  (126 s)
  tiny112_switch         ep 13 set 1  test 0.8431  current 0.9460  set1 0.9460  (136 s)
  tiny112_switch         ep 14 set 1  test 0.8453  current 0.9603  set1 0.9603  (145 s)
  tiny112_switch         ep 15 set 1  test 0.8310  current 0.9436  set1 0.9436  (155 s)
  tiny112_switch         ep 16 set 2  test 0.8601  current 0.8901  set1 0.9010  (165 s)
  tiny112_switch         ep 17 set 2  test 0.8633  current 0.9041  set1 0.9035  (174 s)
  tiny112_switch         ep 18 set 2  test 0.8592  current 0.9183  set1 0.9050  (184 s)
  tiny112_switch         ep 19 set 2  test 0.8619  current 0.9368  set1 0.9076  (193 s)
  tiny112_switch         ep 20 set 2  test 0.8636  current 0.9514  set1 0.9085  (203 s)
  tiny112_switch         ep 21 set 2  test 0.8603  current 0.9626  set1 0.9068  (213 s)
  tiny112_switch         ep 22 set 2  test 0.8582  current 0.9706  set1 0.9042  (222 s)
  tiny112_switch         ep 23 set 2  test 0.8571  current 0.9811  set1 0.9040  (232 s)
  tiny112_switch         ep 24 set 2  test 0.8549  current 0.9857  set1 0.9037  (242 s)
  tiny112_switch         ep 25 set 2  test 0.8577  current 0.9908  set1 0.9024  (251 s)
  tiny112_switch         ep 26 set 2  test 0.8521  current 0.9938  set1 0.8998  (261 s)
  tiny112_switch         ep 27 set 2  test 0.8541  current 0.9965  set1 0.9008  (271 s)
  tiny112_switch         ep 28 set 2  test 0.8553  current 0.9975  set1 0.8977  (280 s)
  tiny112_switch         ep 29 set 2  test 0.8514  current 0.9981  set1 0.8989  (290 s)
  tiny112_switch         ep 30 set 2  test 0.8545  current 0.9993  set1 0.8995  (299 s)
  tiny112_switch         ep 31 set 3  test 0.8686  current 0.8979  set1 0.8880  (309 s)
  tiny112_switch         ep 32 set 3  test 0.8740  current 0.9185  set1 0.8944  (319 s)
  tiny112_switch         ep 33 set 3  test 0.8730  current 0.9414  set1 0.8979  (328 s)
  tiny112_switch         ep 34 set 3  test 0.8713  current 0.9629  set1 0.8959  (338 s)
  tiny112_switch         ep 35 set 3  test 0.8670  current 0.9772  set1 0.8931  (348 s)
  tiny112_switch         ep 36 set 3  test 0.8657  current 0.9883  set1 0.8934  (357 s)
  tiny112_switch         ep 37 set 3  test 0.8648  current 0.9945  set1 0.8908  (367 s)
  tiny112_switch         ep 38 set 3  test 0.8659  current 0.9976  set1 0.8899  (376 s)
  tiny112_switch         ep 39 set 3  test 0.8635  current 0.9996  set1 0.8909  (386 s)
  tiny112_switch         ep 40 set 3  test 0.8662  current 0.9999  set1 0.8918  (396 s)
  tiny112_switch         ep 41 set 3  test 0.8667  current 0.9999  set1 0.8911  (405 s)
  tiny112_switch         ep 42 set 3  test 0.8656  current 1.0000  set1 0.8904  (415 s)
  tiny112_switch         ep 43 set 3  test 0.8661  current 1.0000  set1 0.8905  (425 s)
  tiny112_switch         ep 44 set 3  test 0.8671  current 1.0000  set1 0.8909  (434 s)
  tiny112_switch         ep 45 set 3  test 0.8674  current 1.0000  set1 0.8897  (444 s)
  tiny112_switch         ep 46 set 4  test 0.8803  current 0.9042  set1 0.8950  (454 s)
  tiny112_switch         ep 47 set 4  test 0.8819  current 0.9264  set1 0.9005  (463 s)
  tiny112_switch         ep 48 set 4  test 0.8818  current 0.9406  set1 0.8988  (473 s)
  tiny112_switch         ep 49 set 4  test 0.8798  current 0.9527  set1 0.8991  (482 s)
  tiny112_switch         ep 50 set 4  test 0.8784  current 0.9638  set1 0.8964  (492 s)
  tiny112_switch         ep 51 set 4  test 0.8751  current 0.9729  set1 0.8946  (502 s)
  tiny112_switch         ep 52 set 4  test 0.8729  current 0.9796  set1 0.8939  (511 s)
  tiny112_switch         ep 53 set 4  test 0.8722  current 0.9837  set1 0.8917  (521 s)
  tiny112_switch         ep 54 set 4  test 0.8709  current 0.9867  set1 0.8921  (531 s)
  tiny112_switch         ep 55 set 4  test 0.8701  current 0.9888  set1 0.8912  (540 s)
  tiny112_switch         ep 56 set 4  test 0.8702  current 0.9901  set1 0.8903  (550 s)
  tiny112_switch         ep 57 set 4  test 0.8702  current 0.9911  set1 0.8905  (560 s)
  tiny112_switch         ep 58 set 4  test 0.8701  current 0.9914  set1 0.8908  (569 s)
  tiny112_switch         ep 59 set 4  test 0.8701  current 0.9916  set1 0.8907  (579 s)
  tiny112_switch         ep 60 set 4  test 0.8701  current 0.9916  set1 0.8907  (588 s)
  tiny112_set1           ep  1 set 1  test 0.4110  current 0.4216  set1 0.4216  (10 s)
  tiny112_set1           ep  2 set 1  test 0.6780  current 0.6977  set1 0.6977  (19 s)
  tiny112_set1           ep  3 set 1  test 0.7635  current 0.7856  set1 0.7856  (29 s)
  tiny112_set1           ep  4 set 1  test 0.8116  current 0.8333  set1 0.8333  (39 s)
  tiny112_set1           ep  5 set 1  test 0.8282  current 0.8597  set1 0.8597  (48 s)
  tiny112_set1           ep  6 set 1  test 0.8302  current 0.8710  set1 0.8710  (58 s)
  tiny112_set1           ep  7 set 1  test 0.8417  current 0.8824  set1 0.8824  (68 s)
  tiny112_set1           ep  8 set 1  test 0.8427  current 0.8933  set1 0.8933  (77 s)
  tiny112_set1           ep  9 set 1  test 0.8404  current 0.9009  set1 0.9009  (87 s)
  tiny112_set1           ep 10 set 1  test 0.8493  current 0.9171  set1 0.9171  (97 s)
  tiny112_set1           ep 11 set 1  test 0.8494  current 0.9312  set1 0.9312  (107 s)
  tiny112_set1           ep 12 set 1  test 0.8407  current 0.9343  set1 0.9343  (116 s)
  tiny112_set1           ep 13 set 1  test 0.8431  current 0.9460  set1 0.9460  (126 s)
  tiny112_set1           ep 14 set 1  test 0.8453  current 0.9603  set1 0.9603  (136 s)
  tiny112_set1           ep 15 set 1  test 0.8310  current 0.9436  set1 0.9436  (145 s)
  tiny112_set1           ep 16 set 1  test 0.8406  current 0.9588  set1 0.9588  (155 s)
  tiny112_set1           ep 17 set 1  test 0.8436  current 0.9734  set1 0.9734  (165 s)
  tiny112_set1           ep 18 set 1  test 0.8419  current 0.9846  set1 0.9846  (174 s)
  tiny112_set1           ep 19 set 1  test 0.8414  current 0.9888  set1 0.9888  (184 s)
  tiny112_set1           ep 20 set 1  test 0.8360  current 0.9920  set1 0.9920  (194 s)
  tiny112_set1           ep 21 set 1  test 0.8448  current 0.9920  set1 0.9920  (203 s)
  tiny112_set1           ep 22 set 1  test 0.8411  current 0.9963  set1 0.9963  (213 s)
  tiny112_set1           ep 23 set 1  test 0.8358  current 0.9974  set1 0.9974  (223 s)
  tiny112_set1           ep 24 set 1  test 0.8343  current 0.9953  set1 0.9953  (232 s)
  tiny112_set1           ep 25 set 1  test 0.8434  current 0.9980  set1 0.9980  (242 s)
  tiny112_set1           ep 26 set 1  test 0.8399  current 0.9965  set1 0.9965  (252 s)
  tiny112_set1           ep 27 set 1  test 0.8436  current 0.9995  set1 0.9995  (261 s)
  tiny112_set1           ep 28 set 1  test 0.8454  current 0.9997  set1 0.9997  (271 s)
  tiny112_set1           ep 29 set 1  test 0.8441  current 0.9999  set1 0.9999  (281 s)
  tiny112_set1           ep 30 set 1  test 0.8480  current 0.9998  set1 0.9998  (290 s)
  tiny112_set1           ep 31 set 1  test 0.8436  current 0.9997  set1 0.9997  (300 s)
  tiny112_set1           ep 32 set 1  test 0.8434  current 0.9986  set1 0.9986  (310 s)
  tiny112_set1           ep 33 set 1  test 0.8404  current 0.9992  set1 0.9992  (319 s)
  tiny112_set1           ep 34 set 1  test 0.8417  current 0.9988  set1 0.9988  (329 s)
  tiny112_set1           ep 35 set 1  test 0.8427  current 0.9988  set1 0.9988  (339 s)
