epoch	set	test	current	set1
1	1	0.516011	0.510957	0.510957
2	1	0.746170	0.753688	0.753688
3	1	0.802181	0.811277	0.811277
4	1	0.826862	0.840284	0.840284
5	1	0.837181	0.850638	0.850638
6	1	0.840638	0.857553	0.857553
7	1	0.850798	0.875816	0.875816
8	1	0.855479	0.880957	0.880957
9	1	0.853777	0.881809	0.881809
10	1	0.867979	0.905993	0.905993
11	1	0.859043	0.902624	0.902624
12	1	0.863032	0.918972	0.918972
13	1	0.860213	0.919078	0.919078
14	1	0.868138	0.941312	0.941312
15	1	0.857287	0.938972	0.938972
16	2	0.871436	0.893759	0.903475
17	2	0.870585	0.902482	0.900922
18	2	0.874521	0.914291	0.901596
19	2	0.873457	0.924397	0.900000
20	2	0.875904	0.948262	0.907305
21	2	0.869309	0.957766	0.901454
22	2	0.864043	0.969113	0.897021
23	2	0.866011	0.983865	0.897092
24	2	0.867872	0.991064	0.899929
25	2	0.868670	0.989433	0.896454
26	2	0.858191	0.994929	0.889468
27	2	0.863085	0.997092	0.894043
28	2	0.861489	0.998582	0.895496
29	2	0.865904	0.998298	0.893191
30	2	0.866862	0.998085	0.891418
31	3	0.885266	0.909858	0.897199
32	3	0.878564	0.922163	0.893511
33	3	0.886117	0.950603	0.901950
34	3	0.881170	0.977801	0.900709
35	3	0.876755	0.989078	0.892092
36	3	0.872819	0.997766	0.894539
37	3	0.875638	0.997695	0.892589
38	3	0.875745	0.999752	0.891170
39	3	0.875532	0.999787	0.893475
40	3	0.873670	0.999823	0.891418
41	3	0.877660	0.999858	0.892163
42	3	0.877128	0.999787	0.892979
43	3	0.873883	0.999965	0.892021
44	3	0.875585	0.999965	0.892660
45	3	0.874628	0.999965	0.892589
46	4	0.888085	0.912943	0.899468
47	4	0.889255	0.932340	0.901915
48	4	0.889415	0.949007	0.901525
49	4	0.886809	0.965213	0.899823
50	4	0.884202	0.980532	0.895745
51	4	0.883404	0.988440	0.894965
52	4	0.881330	0.993333	0.893369
53	4	0.880000	0.996738	0.892270
54	4	0.880426	0.997872	0.893014
55	4	0.881862	0.998688	0.892128
56	4	0.880798	0.998936	0.891844
57	4	0.880745	0.999043	0.891596
58	4	0.880691	0.999220	0.891773
59	4	0.880798	0.999220	0.891702
60	4	0.880585	0.999220	0.891915
