epoch	set	test	current	set1
1	1	0.411011	0.421596	0.421596
2	1	0.678032	0.697660	0.697660
3	1	0.763511	0.785567	0.785567
4	1	0.811596	0.833298	0.833298
5	1	0.828245	0.859716	0.859716
6	1	0.830213	0.871028	0.871028
7	1	0.841702	0.882411	0.882411
8	1	0.842713	0.893262	0.893262
9	1	0.840372	0.900887	0.900851
10	1	0.849255	0.917128	0.917128
11	1	0.849415	0.931170	0.931170
12	1	0.840745	0.934255	0.934255
13	1	0.843138	0.945957	0.945957
14	1	0.845266	0.960284	0.960284
15	1	0.831011	0.943582	0.943617
16	1	0.840585	0.958794	0.958794
17	1	0.843564	0.973440	0.973440
18	1	0.841915	0.984645	0.984645
19	1	0.841436	0.988830	0.988830
20	1	0.835957	0.991986	0.991986
21	1	0.844787	0.991950	0.991950
22	1	0.841117	0.996348	0.996348
23	1	0.835798	0.997447	0.997447
24	1	0.834309	0.995319	0.995319
25	1	0.843404	0.998050	0.998050
26	1	0.839947	0.996489	0.996489
27	1	0.843617	0.999539	0.999539
28	1	0.845372	0.999681	0.999681
29	1	0.844096	0.999858	0.999858
30	1	0.848032	0.999823	0.999823
31	1	0.843564	0.999681	0.999681
32	1	0.843404	0.998617	0.998617
33	1	0.840426	0.999184	0.999184
34	1	0.841702	0.998830	0.998830
35	1	0.842713	0.998830	0.998830
36	1	0.846011	0.999858	0.999858
37	1	0.849202	1.000000	1.000000
38	1	0.847766	0.999929	0.999929
39	1	0.846809	1.000000	1.000000
40	1	0.849415	1.000000	1.000000
41	1	0.849043	0.999965	0.999965
42	1	0.849840	0.999965	0.999965
43	1	0.850372	1.000000	1.000000
44	1	0.849521	1.000000	1.000000
45	1	0.850585	1.000000	1.000000
46	1	0.850319	1.000000	1.000000
47	1	0.850319	1.000000	1.000000
48	1	0.850106	1.000000	1.000000
49	1	0.848670	1.000000	1.000000
50	1	0.849521	1.000000	1.000000
51	1	0.849202	1.000000	1.000000
52	1	0.848404	1.000000	1.000000
53	1	0.849415	1.000000	1.000000
54	1	0.850372	1.000000	1.000000
55	1	0.850160	1.000000	1.000000
56	1	0.849681	1.000000	1.000000
57	1	0.850160	1.000000	1.000000
58	1	0.850372	1.000000	1.000000
59	1	0.850426	1.000000	1.000000
60	1	0.850585	1.000000	1.000000
