epoch	set	test	current	set1
1	1	0.516011	0.510957	0.510957
2	1	0.746170	0.753688	0.753688
3	1	0.802181	0.811277	0.811277
4	1	0.826862	0.840284	0.840284
5	1	0.837181	0.850638	0.850638
6	1	0.840638	0.857553	0.857553
7	1	0.850798	0.875816	0.875816
8	1	0.855479	0.880957	0.880957
9	1	0.853777	0.881809	0.881809
10	1	0.867979	0.905993	0.905993
11	1	0.859043	0.902624	0.902624
12	1	0.863032	0.918972	0.918972
13	1	0.860213	0.919078	0.919078
14	1	0.868138	0.941312	0.941312
15	1	0.857287	0.938972	0.938972
16	1	0.862181	0.956170	0.956170
17	1	0.858830	0.966950	0.966950
18	1	0.861489	0.981631	0.981631
19	1	0.861915	0.986525	0.986525
20	1	0.856649	0.991418	0.991418
21	1	0.855479	0.992908	0.992908
22	1	0.857819	0.991135	0.991135
23	1	0.853085	0.992057	0.992057
24	1	0.859894	0.994043	0.994043
25	1	0.857979	0.995993	0.995993
26	1	0.859840	0.998333	0.998333
27	1	0.859468	0.998404	0.998404
28	1	0.849947	0.996560	0.996560
29	1	0.856596	0.998440	0.998440
30	1	0.856702	0.998050	0.998050
31	1	0.856968	0.997908	0.997908
32	1	0.852394	0.997376	0.997376
33	1	0.858085	0.998298	0.998298
34	1	0.858883	0.999610	0.999610
35	1	0.863298	0.999326	0.999326
36	1	0.856702	0.999255	0.999255
37	1	0.859574	0.999326	0.999326
38	1	0.864362	0.999787	0.999787
39	1	0.859840	0.999787	0.999787
40	1	0.862500	0.999716	0.999716
41	1	0.861755	0.999823	0.999823
42	1	0.864149	0.999965	0.999965
43	1	0.864468	0.999929	0.999929
44	1	0.866436	0.999965	0.999965
45	1	0.865532	0.999929	0.999929
46	1	0.867234	1.000000	1.000000
47	1	0.863032	0.999787	0.999787
48	1	0.868245	0.999965	0.999965
49	1	0.866170	1.000000	1.000000
50	1	0.866702	1.000000	1.000000
51	1	0.867234	1.000000	1.000000
52	1	0.865638	1.000000	1.000000
53	1	0.866330	1.000000	1.000000
54	1	0.867128	1.000000	1.000000
55	1	0.867606	1.000000	1.000000
56	1	0.867394	1.000000	1.000000
57	1	0.867713	1.000000	1.000000
58	1	0.867979	1.000000	1.000000
59	1	0.868138	1.000000	1.000000
60	1	0.868085	1.000000	1.000000
