epoch	set	test	current	set1
1	1	0.411011	0.421596	0.421596
2	1	0.678032	0.697660	0.697660
3	1	0.763511	0.785567	0.785567
4	1	0.811596	0.833298	0.833298
5	1	0.828245	0.859716	0.859716
6	1	0.830213	0.871028	0.871028
7	1	0.841702	0.882411	0.882411
8	1	0.842713	0.893262	0.893262
9	1	0.840372	0.900887	0.900851
10	1	0.849255	0.917128	0.917128
11	1	0.849415	0.931170	0.931170
12	1	0.840745	0.934255	0.934255
13	1	0.843138	0.945957	0.945957
14	1	0.845266	0.960284	0.960284
15	1	0.831011	0.943582	0.943617
16	2	0.860106	0.890106	0.900993
17	2	0.863298	0.904149	0.903511
18	2	0.859202	0.918262	0.905035
19	2	0.861862	0.936844	0.907624
20	2	0.863617	0.951418	0.908475
21	2	0.860266	0.962589	0.906844
22	2	0.858191	0.970567	0.904220
23	2	0.857074	0.981135	0.904043
24	2	0.854947	0.985674	0.903688
25	2	0.857660	0.990780	0.902447
26	2	0.852128	0.993830	0.899752
27	2	0.854096	0.996525	0.900780
28	2	0.855319	0.997482	0.897695
29	2	0.851436	0.998121	0.898936
30	2	0.854468	0.999291	0.899468
31	3	0.868617	0.897872	0.888014
32	3	0.874043	0.918475	0.894397
33	3	0.873032	0.941383	0.897908
34	3	0.871330	0.962943	0.895887
35	3	0.866968	0.977163	0.893085
36	3	0.865691	0.988333	0.893369
37	3	0.864840	0.994539	0.890816
38	3	0.865851	0.997553	0.889858
39	3	0.863457	0.999645	0.890922
40	3	0.866223	0.999894	0.891844
41	3	0.866702	0.999894	0.891099
42	3	0.865585	1.000000	0.890426
43	3	0.866064	0.999965	0.890461
44	3	0.867128	1.000000	0.890922
45	3	0.867447	1.000000	0.889681
46	4	0.880319	0.904184	0.895035
47	4	0.881915	0.926418	0.900461
48	4	0.881809	0.940638	0.898794
49	4	0.879840	0.952695	0.899113
50	4	0.878404	0.963830	0.896418
51	4	0.875053	0.972908	0.894574
52	4	0.872872	0.979645	0.893936
53	4	0.872234	0.983723	0.891738
54	4	0.870851	0.986667	0.892092
55	4	0.870106	0.988759	0.891206
56	4	0.870213	0.990071	0.890319
57	4	0.870160	0.991099	0.890496
58	4	0.870106	0.991418	0.890780
59	4	0.870053	0.991560	0.890745
60	4	0.870106	0.991560	0.890674
